TIME_1,RE_1,LE_1
2005-01-15 11:09:27.0000,0,0
2005-01-15 11:09:27.0006,-0.1,-1
2005-01-15 11:09:27.0012,-0.4,-0.9
2005-01-15 11:09:27.0018,-0.5,-0.8
2005-01-15 11:09:27.0024,-0.5,-0.4
2005-01-15 11:09:27.0030,-0.5,-0.2
2005-01-15 11:09:27.0035,-0.6,-0.1
2005-01-15 11:09:27.0041,-0.6,0
2005-01-15 11:09:27.0047,-0.7,0
2005-01-15 11:09:27.0053,-0.6,0.2
2005-01-15 11:09:27.0059,-0.5,0.2
2005-01-15 11:09:27.0065,-0.4,0.3
2005-01-15 11:09:27.0071,-0.3,0.4
2005-01-15 11:09:27.0077,-0.2,0.4
2005-01-15 11:09:27.0083,-0.3,0.5
2005-01-15 11:09:27.0089,-0.5,0.3
2005-01-15 11:09:27.0094,-0.6,0.2
2005-01-15 11:09:27.0100,-0.5,0
2005-01-15 11:09:27.0106,-0.5,-0.1
2005-01-15 11:09:27.0112,-0.5,-0.2
2005-01-15 11:09:27.0118,-0.4,-0.1
2005-01-15 11:09:27.0124,-0.3,-0.1
2005-01-15 11:09:27.0130,-0.2,0
2005-01-15 11:09:27.0136,-0.2,0.1
2005-01-15 11:09:27.0142,-0.2,0.2
2005-01-15 11:09:27.0148,-0.4,0.2
2005-01-15 11:09:27.0153,-0.6,0.2
2005-01-15 11:09:27.0159,-0.6,0.3
2005-01-15 11:09:27.0165,-0.6,0.3
2005-01-15 11:09:27.0171,-0.7,0.2
2005-01-15 11:09:27.0177,-0.9,0.1
2005-01-15 11:09:27.0183,-0.9,0
2005-01-15 11:09:27.0189,-0.9,-0.2
2005-01-15 11:09:27.0195,-1.1,-0.5
2005-01-15 11:09:27.0201,-1.1,-0.7
2005-01-15 11:09:27.0207,-1.3,-0.8
2005-01-15 11:09:27.0212,-1.4,-1.1
2005-01-15 11:09:27.0218,-1.6,-1.2
2005-01-15 11:09:27.0224,-1.9,-1.4
2005-01-15 11:09:27.0230,-2.1,-1.7
2005-01-15 11:09:27.0236,-2.5,-1.8
2005-01-15 11:09:27.0242,-2.6,-2
2005-01-15 11:09:27.0248,-2.9,-1.9
2005-01-15 11:09:27.0254,-2.9,-1.8
2005-01-15 11:09:27.0260,-2.9,-1.8
2005-01-15 11:09:27.0266,-2.9,-1.7
2005-01-15 11:09:27.0272,-2.8,-1.6
2005-01-15 11:09:27.0277,-2.7,-1.4
2005-01-15 11:09:27.0283,-2.7,-1.3
2005-01-15 11:09:27.0289,-2.8,-1.2
2005-01-15 11:09:27.0295,-2.7,-1.1
2005-01-15 11:09:27.0301,-2.7,-1
2005-01-15 11:09:27.0307,-2.7,-0.9
2005-01-15 11:09:27.0313,-2.6,-0.8
2005-01-15 11:09:27.0319,-2.5,-0.6
2005-01-15 11:09:27.0325,-2.1,-0.4
2005-01-15 11:09:27.0331,-2,-0.1
2005-01-15 11:09:27.0336,-1.7,0.1
2005-01-15 11:09:27.0342,-1.5,0.4
2005-01-15 11:09:27.0348,-1.5,0.7
2005-01-15 11:09:27.0354,-1.2,1.1
2005-01-15 11:09:27.0360,-1,1.5
2005-01-15 11:09:27.0366,-0.7,1.8
2005-01-15 11:09:27.0372,-0.5,2.1
2005-01-15 11:09:27.0378,-0.2,2.4
2005-01-15 11:09:27.0384,0.1,2.7
2005-01-15 11:09:27.0390,0.5,3
2005-01-15 11:09:27.0395,1.1,3.3
2005-01-15 11:09:27.0401,1.7,3.6
2005-01-15 11:09:27.0407,2.1,4.1
2005-01-15 11:09:27.0413,2.5,4.6
2005-01-15 11:09:27.0419,2.8,4.9
2005-01-15 11:09:27.0425,3.1,5.1
2005-01-15 11:09:27.0431,3,5.3
2005-01-15 11:09:27.0437,3.1,5.5
2005-01-15 11:09:27.0443,3.1,5.8
2005-01-15 11:09:27.0449,3.4,6.1
2005-01-15 11:09:27.0455,3.8,6.4
2005-01-15 11:09:27.0460,4.1,6.8
2005-01-15 11:09:27.0466,4.3,7.1
2005-01-15 11:09:27.0472,4.4,7.2
2005-01-15 11:09:27.0478,4.6,7.3
2005-01-15 11:09:27.0484,4.7,7.3
2005-01-15 11:09:27.0490,4.7,7.2
2005-01-15 11:09:27.0496,4.7,7.1
2005-01-15 11:09:27.0502,4.6,7
2005-01-15 11:09:27.0508,4.5,6.7
2005-01-15 11:09:27.0514,4.3,6.6
