TIME_1,RE_1,LE_1,TIME_2,RE_2,LE_2,TIME_3,RE_3,LE_3
2018-11-26 13:19:24.0000,0,0,2018-11-26 13:21:58.0000,0,0,2018-11-26 13:23:37.0000,0,0
2018-11-26 13:19:24.0006,0.2,-0.1,2018-11-26 13:21:58.0006,-0.1,0,2018-11-26 13:23:37.0006,-0.1,0.1
2018-11-26 13:19:24.0012,0.2,-0.1,2018-11-26 13:21:58.0012,-0.2,0,2018-11-26 13:23:37.0012,-0.6,0.1
2018-11-26 13:19:24.0018,0.2,0,2018-11-26 13:21:58.0018,-0.1,0.1,2018-11-26 13:23:37.0018,-0.8,0.4
2018-11-26 13:19:24.0024,0.5,0,2018-11-26 13:21:58.0024,0,0.2,2018-11-26 13:23:37.0024,-0.8,0.6
2018-11-26 13:19:24.0030,0.8,0.2,2018-11-26 13:21:58.0030,-0.1,0.3,2018-11-26 13:23:37.0030,-0.6,0.8
2018-11-26 13:19:24.0035,1,0.1,2018-11-26 13:21:58.0035,-0.2,0.3,2018-11-26 13:23:37.0035,-0.4,1
2018-11-26 13:19:24.0041,1.2,0.1,2018-11-26 13:21:58.0041,-0.2,0.5,2018-11-26 13:23:37.0041,-0.1,1.1
2018-11-26 13:19:24.0047,1.1,0.1,2018-11-26 13:21:58.0047,-0.2,0.6,2018-11-26 13:23:37.0047,0,1.1
2018-11-26 13:19:24.0053,1.1,0.2,2018-11-26 13:21:58.0053,-0.4,0.7,2018-11-26 13:23:37.0053,0,1.2
2018-11-26 13:19:24.0059,1.1,0.1,2018-11-26 13:21:58.0059,-0.5,0.7,2018-11-26 13:23:37.0059,0,1.2
2018-11-26 13:19:24.0065,0.9,0.1,2018-11-26 13:21:58.0065,-0.7,0.8,2018-11-26 13:23:37.0065,0,1.3
2018-11-26 13:19:24.0071,0.9,0.1,2018-11-26 13:21:58.0071,-0.6,0.9,2018-11-26 13:23:37.0071,0.2,1.3
2018-11-26 13:19:24.0077,0.8,0.2,2018-11-26 13:21:58.0077,-0.5,1,2018-11-26 13:23:37.0077,0.2,1.3
2018-11-26 13:19:24.0083,0.7,0.2,2018-11-26 13:21:58.0083,-0.3,1,2018-11-26 13:23:37.0083,0.3,1.2
2018-11-26 13:19:24.0089,0.6,0,2018-11-26 13:21:58.0089,-0.3,0.9,2018-11-26 13:23:37.0089,0.2,1.2
2018-11-26 13:19:24.0094,0.3,0,2018-11-26 13:21:58.0094,-0.6,0.9,2018-11-26 13:23:37.0094,0.1,1.1
2018-11-26 13:19:24.0100,0.3,-0.1,2018-11-26 13:21:58.0100,-0.6,0.9,2018-11-26 13:23:37.0100,0.1,1.1
2018-11-26 13:19:24.0106,0.5,-0.1,2018-11-26 13:21:58.0106,-0.6,0.9,2018-11-26 13:23:37.0106,0.3,1.1
2018-11-26 13:19:24.0112,0.8,-0.1,2018-11-26 13:21:58.0112,-0.6,0.9,2018-11-26 13:23:37.0112,0.5,1.3
2018-11-26 13:19:24.0118,1.1,0,2018-11-26 13:21:58.0118,-0.6,1,2018-11-26 13:23:37.0118,0.7,1.2
2018-11-26 13:19:24.0124,1.3,0,2018-11-26 13:21:58.0124,-0.6,1.1,2018-11-26 13:23:37.0124,0.8,1.2
