TIME_1,RE_1,LE_1,TIME_2,RE_2,LE_2
2005-10-06 12:04:47.0000,0,0,2005-10-06 12:07:49.0000,0,0
2005-10-06 12:04:47.0006,0,0.7,2005-10-06 12:07:49.0006,-1,-1.4
2005-10-06 12:04:47.0012,-0.1,0.6,2005-10-06 12:07:49.0012,-1,-1.2
2005-10-06 12:04:47.0018,-0.2,0.8,2005-10-06 12:07:49.0018,-1,-1.2
2005-10-06 12:04:47.0024,-0.2,0.9,2005-10-06 12:07:49.0024,-1,-1.1
2005-10-06 12:04:47.0030,-0.3,1.1,2005-10-06 12:07:49.0030,-1,-1.1
2005-10-06 12:04:47.0035,-0.4,1.4,2005-10-06 12:07:49.0035,-1.1,-1
2005-10-06 12:04:47.0041,-0.6,1.6,2005-10-06 12:07:49.0041,-1.2,-1.1
2005-10-06 12:04:47.0047,-0.8,1.7,2005-10-06 12:07:49.0047,-1.3,-1
2005-10-06 12:04:47.0053,-0.9,1.8,2005-10-06 12:07:49.0053,-1.3,-0.9
2005-10-06 12:04:47.0059,-0.9,1.8,2005-10-06 12:07:49.0059,-1.2,-0.9
2005-10-06 12:04:47.0065,-0.8,1.9,2005-10-06 12:07:49.0065,-1.2,-0.9
2005-10-06 12:04:47.0071,-0.7,1.9,2005-10-06 12:07:49.0071,-1.2,-0.8
2005-10-06 12:04:47.0077,-0.6,1.9,2005-10-06 12:07:49.0077,-1.1,-0.9
2005-10-06 12:04:47.0083,-0.3,1.9,2005-10-06 12:07:49.0083,-1,-0.8
2005-10-06 12:04:47.0089,-0.2,2,2005-10-06 12:07:49.0089,-0.8,-0.9
2005-10-06 12:04:47.0094,-0.1,2.1,2005-10-06 12:07:49.0094,-0.6,-0.7
2005-10-06 12:04:47.0100,-0.2,2.1,2005-10-06 12:07:49.0100,-0.4,-0.6
2005-10-06 12:04:47.0106,-0.3,2.1,2005-10-06 12:07:49.0106,-0.2,-0.7
2005-10-06 12:04:47.0112,-0.5,2.1,2005-10-06 12:07:49.0112,-0.2,-0.6
2005-10-06 12:04:47.0118,-0.6,2.1,2005-10-06 12:07:49.0118,-0.2,-0.7
2005-10-06 12:04:47.0124,-0.6,2.2,2005-10-06 12:07:49.0124,-0.4,-0.6
2005-10-06 12:04:47.0130,-0.6,2.2,2005-10-06 12:07:49.0130,-0.5,-0.5
2005-10-06 12:04:47.0136,-0.5,2.3,2005-10-06 12:07:49.0136,-0.5,-0.4
2005-10-06 12:04:47.0142,-0.4,2.2,2005-10-06 12:07:49.0142,-0.5,-0.4
2005-10-06 12:04:47.0148,-0.3,2.1,2005-10-06 12:07:49.0148,-0.6,-0.4
2005-10-06 12:04:47.0153,-0.3,2,2005-10-06 12:07:49.0153,-0.5,-0.3
2005-10-06 12:04:47.0159,-0.4,2.1,2005-10-06 12:07:49.0159,-0.5,-0.2
2005-10-06 12:04:47.0165,-0.5,2.2,2005-10-06 12:07:49.0165,-0.5,-0.2
2005-10-06 12:04:47.0171,-0.7,2.3,2005-10-06 12:07:49.0171,-0.5,-0.1
2005-10-06 12:04:47.0177,-0.8,2.4,2005-10-06 12:07:49.0177,-0.4,-0.1
2005-10-06 12:04:47.0183,-0.9,2.4,2005-10-06 12:07:49.0183,-0.4,-0.2
2005-10-06 12:04:47.0189,-1.1,2.5,2005-10-06 12:07:49.0189,-0.4,-0.3
2005-10-06 12:04:47.0195,-1.1,2.3,2005-10-06 12:07:49.0195,-0.4,-0.4
2005-10-06 12:04:47.0201,-1.2,2.2,2005-10-06 12:07:49.0201,-0.4,-0.6
2005-10-06 12:04:47.0207,-1.2,2.3,2005-10-06 12:07:49.0207,-0.4,-0.7
2005-10-06 12:04:47.0212,-1.2,2.4,2005-10-06 12:07:49.0212,-0.3,-0.8
2005-10-06 12:04:47.0218,-1.2,2.4,2005-10-06 12:07:49.0218,-0.2,-0.8
2005-10-06 12:04:47.0224,-1.3,2.6,2005-10-06 12:07:49.0224,-0.2,-0.8
2005-10-06 12:04:47.0230,-1.5,2.6,2005-10-06 12:07:49.0230,-0.2,-0.8
2005-10-06 12:04:47.0236,-1.5,2.7,2005-10-06 12:07:49.0236,-0.2,-0.7
2005-10-06 12:04:47.0242,-1.6,2.7,2005-10-06 12:07:49.0242,-0.3,-0.7
2005-10-06 12:04:47.0248,-1.5,2.7,2005-10-06 12:07:49.0248,-0.3,-0.7
2005-10-06 12:04:47.0254,-1.5,2.7,2005-10-06 12:07:49.0254,-0.4,-0.6
2005-10-06 12:04:47.0260,-1.5,2.6,2005-10-06 12:07:49.0260,-0.4,-0.5
2005-10-06 12:04:47.0266,-1.4,2.7,2005-10-06 12:07:49.0266,-0.3,-0.6
2005-10-06 12:04:47.0272,-1.2,2.6,2005-10-06 12:07:49.0272,-0.4,-0.6
2005-10-06 12:04:47.0277,-0.9,2.4,2005-10-06 12:07:49.0277,-0.5,-0.7
2005-10-06 12:04:47.0283,-0.7,2.4,2005-10-06 12:07:49.0283,-0.4,-0.7
2005-10-06 12:04:47.0289,-0.6,2.4,2005-10-06 12:07:49.0289,-0.5,-0.7
2005-10-06 12:04:47.0295,-0.5,2.3,2005-10-06 12:07:49.0295,-0.4,-0.7
2005-10-06 12:04:47.0301,-0.5,2.2,2005-10-06 12:07:49.0301,-0.3,-0.7
2005-10-06 12:04:47.0307,-0.5,2.2,2005-10-06 12:07:49.0307,-0.1,-0.8
2005-10-06 12:04:47.0313,-0.6,2.1,2005-10-06 12:07:49.0313,0,-0.9
2005-10-06 12:04:47.0319,-0.6,1.9,2005-10-06 12:07:49.0319,0.2,-1
2005-10-06 12:04:47.0325,-0.9,1.7,2005-10-06 12:07:49.0325,0.1,-1
2005-10-06 12:04:47.0331,-1.1,1.6,2005-10-06 12:07:49.0331,0.2,-1
2005-10-06 12:04:47.0336,-1.3,1.5,2005-10-06 12:07:49.0336,0.2,-1
2005-10-06 12:04:47.0342,-1.5,1.5,2005-10-06 12:07:49.0342,0.1,-0.9
2005-10-06 12:04:47.0348,-1.5,1.6,2005-10-06 12:07:49.0348,0.2,-0.9
2005-10-06 12:04:47.0354,-1.6,1.7,2005-10-06 12:07:49.0354,0.2,-0.7
2005-10-06 12:04:47.0360,-1.3,1.6,2005-10-06 12:07:49.0360,0.1,-0.7
2005-10-06 12:04:47.0366,-1,1.6,2005-10-06 12:07:49.0366,0,-0.6
2005-10-06 12:04:47.0372,-0.7,1.7,2005-10-06 12:07:49.0372,-0.1,-0.5
2005-10-06 12:04:47.0378,-0.5,2.1,2005-10-06 12:07:49.0378,0,-0.5
2005-10-06 12:04:47.0384,-0.2,2.3,2005-10-06 12:07:49.0384,0,-0.4
2005-10-06 12:04:47.0390,0.1,2.6,2005-10-06 12:07:49.0390,0,-0.5
2005-10-06 12:04:47.0395,0.2,3,2005-10-06 12:07:49.0395,0.1,-0.3
2005-10-06 12:04:47.0401,0.4,3.3,2005-10-06 12:07:49.0401,0.2,-0.2
2005-10-06 12:04:47.0407,0.4,3.6,2005-10-06 12:07:49.0407,0.3,-0.1
2005-10-06 12:04:47.0413,0.4,3.9,2005-10-06 12:07:49.0413,0.4,0
2005-10-06 12:04:47.0419,0.2,4.1,2005-10-06 12:07:49.0419,0.5,0.1
2005-10-06 12:04:47.0425,0.2,4.2,2005-10-06 12:07:49.0425,0.6,0.2
2005-10-06 12:04:47.0431,0,4.3,2005-10-06 12:07:49.0431,0.7,0.3
2005-10-06 12:04:47.0437,0,4.3,2005-10-06 12:07:49.0437,0.6,0.4
2005-10-06 12:04:47.0443,-0.1,4.2,2005-10-06 12:07:49.0443,0.6,0.5
2005-10-06 12:04:47.0449,0,4.2,2005-10-06 12:07:49.0449,0.5,0.6
2005-10-06 12:04:47.0455,0,4,2005-10-06 12:07:49.0455,0.6,0.8
2005-10-06 12:04:47.0460,0.1,3.8,2005-10-06 12:07:49.0460,0.6,0.8
2005-10-06 12:04:47.0466,0.2,3.5,2005-10-06 12:07:49.0466,0.7,0.8
2005-10-06 12:04:47.0472,0.4,3.2,2005-10-06 12:07:49.0472,0.8,1
2005-10-06 12:04:47.0478,0.5,3,2005-10-06 12:07:49.0478,1,1
2005-10-06 12:04:47.0484,0.6,3,2005-10-06 12:07:49.0484,1.1,1.2
2005-10-06 12:04:47.0490,0.6,3.2,2005-10-06 12:07:49.0490,1.2,1.2
2005-10-06 12:04:47.0496,0.7,3.2,2005-10-06 12:07:49.0496,1.4,1.3
2005-10-06 12:04:47.0502,0.9,3.4,2005-10-06 12:07:49.0502,1.6,1.1
2005-10-06 12:04:47.0508,0.9,3.6,2005-10-06 12:07:49.0508,1.8,1.1
2005-10-06 12:04:47.0514,0.9,3.8,2005-10-06 12:07:49.0514,1.9,1.2
2005-10-06 12:04:47.0519,0.9,3.8,2005-10-06 12:07:49.0519,2.1,1.2
2005-10-06 12:04:47.0525,1,3.9,2005-10-06 12:07:49.0525,2.1,1.3
2005-10-06 12:04:47.0531,1,3.9,2005-10-06 12:07:49.0531,2.3,1.3
2005-10-06 12:04:47.0537,1,3.8,2005-10-06 12:07:49.0537,2.4,1.3
2005-10-06 12:04:47.0543,1,3.9,2005-10-06 12:07:49.0543,2.4,1.3
2005-10-06 12:04:47.0549,1,3.8,2005-10-06 12:07:49.0549,2.3,1.3
2005-10-06 12:04:47.0555,0.9,3.6,2005-10-06 12:07:49.0555,2.5,1.2
2005-10-06 12:04:47.0561,0.9,3.4,2005-10-06 12:07:49.0561,2.4,1.2
2005-10-06 12:04:47.0567,0.9,3.1,2005-10-06 12:07:49.0567,2.4,1.2
2005-10-06 12:04:47.0573,0.9,2.9,2005-10-06 12:07:49.0573,2.3,1.2
2005-10-06 12:04:47.0578,1.1,2.6,2005-10-06 12:07:49.0578,2.3,1.2
2005-10-06 12:04:47.0584,1.1,2.4,2005-10-06 12:07:49.0584,2.2,1.1
2005-10-06 12:04:47.0590,1.1,2.3,2005-10-06 12:07:49.0590,2.2,1.1
2005-10-06 12:04:47.0596,1,2.1,2005-10-06 12:07:49.0596,2.1,1.1
2005-10-06 12:04:47.0602,1.1,2.1,2005-10-06 12:07:49.0602,2,0.9
2005-10-06 12:04:47.0608,1,1.8,2005-10-06 12:07:49.0608,2,0.9
2005-10-06 12:04:47.0614,0.8,1.7,2005-10-06 12:07:49.0614,2,0.8
2005-10-06 12:04:47.0620,0.6,1.4,2005-10-06 12:07:49.0620,1.9,0.9
2005-10-06 12:04:47.0626,0.5,1.2,2005-10-06 12:07:49.0626,1.7,0.7
2005-10-06 12:04:47.0632,0.3,1.3,2005-10-06 12:07:49.0632,1.7,0.7
2005-10-06 12:04:47.0637,0.3,1.2,2005-10-06 12:07:49.0637,1.6,0.6
2005-10-06 12:04:47.0643,0.2,1.2,2005-10-06 12:07:49.0643,1.5,0.7
2005-10-06 12:04:47.0649,0.1,1.3,2005-10-06 12:07:49.0649,1.6,0.6
2005-10-06 12:04:47.0655,0,1.4,2005-10-06 12:07:49.0655,1.5,0.6
2005-10-06 12:04:47.0661,-0.1,1.5,2005-10-06 12:07:49.0661,1.6,0.6
2005-10-06 12:04:47.0667,-0.3,1.5,2005-10-06 12:07:49.0667,1.5,0.6
2005-10-06 12:04:47.0673,-0.7,1.5,2005-10-06 12:07:49.0673,1.4,0.5
