TIME_1,RE_1,LE_1,TIME_2,RE_2,LE_2,TIME_3,RE_3,LE_3,TIME_4,RE_4,LE_4,TIME_5,RE_5,LE_5
2003-08-15 12:07:34.0000,0,0,2003-08-15 12:09:03.0000,0,0,2003-08-15 12:11:51.0000,0,0,2003-08-15 12:14:20.0000,0,0,2003-08-15 12:15:27.0000,0,0
2003-08-15 12:07:34.0006,0,-0.2,2003-08-15 12:09:03.0006,0,0,2003-08-15 12:11:51.0006,0.1,0.1,2003-08-15 12:14:20.0006,-0.1,0,2003-08-15 12:15:27.0006,-0.2,0
2003-08-15 12:07:34.0012,0,-0.4,2003-08-15 12:09:03.0012,0.1,0,2003-08-15 12:11:51.0012,0,0,2003-08-15 12:14:20.0012,0,0,2003-08-15 12:15:27.0012,-0.5,0
2003-08-15 12:07:34.0018,0.1,-0.5,2003-08-15 12:09:03.0018,0.3,0,2003-08-15 12:11:51.0018,-0.2,-0.1,2003-08-15 12:14:20.0018,0,0,2003-08-15 12:15:27.0018,-0.5,0
2003-08-15 12:07:34.0024,0,-0.4,2003-08-15 12:09:03.0024,0.4,-0.1,2003-08-15 12:11:51.0024,-0.8,-0.1,2003-08-15 12:14:20.0024,0.2,0.2,2003-08-15 12:15:27.0024,-0.5,0
2003-08-15 12:07:34.0030,0.2,-0.2,2003-08-15 12:09:03.0030,0.5,-0.1,2003-08-15 12:11:51.0030,-1.2,-0.1,2003-08-15 12:14:20.0030,0.1,0.4,2003-08-15 12:15:27.0030,-0.5,0.1
2003-08-15 12:07:34.0035,0.3,-0.2,2003-08-15 12:09:03.0035,0.4,-0.2,2003-08-15 12:11:51.0035,-1.6,0,2003-08-15 12:14:20.0035,0.2,0.5,2003-08-15 12:15:27.0035,-0.3,0.1
2003-08-15 12:07:34.0041,0.6,-0.1,2003-08-15 12:09:03.0041,0.3,-0.3,2003-08-15 12:11:51.0041,-1.8,0.1,2003-08-15 12:14:20.0041,0.4,0.7,2003-08-15 12:15:27.0041,-0.3,0.1
2003-08-15 12:07:34.0047,1,0,2003-08-15 12:09:03.0047,0.2,-0.3,2003-08-15 12:11:51.0047,-1.8,0.3,2003-08-15 12:14:20.0047,0.4,0.8,2003-08-15 12:15:27.0047,-0.2,0.2
2003-08-15 12:07:34.0053,1.4,0.1,2003-08-15 12:09:03.0053,0,-0.4,2003-08-15 12:11:51.0053,-1.8,0.4,2003-08-15 12:14:20.0053,0.5,0.9,2003-08-15 12:15:27.0053,0,0.2
2003-08-15 12:07:34.0059,1.6,0.2,2003-08-15 12:09:03.0059,0,-0.4,2003-08-15 12:11:51.0059,-1.8,0.6,2003-08-15 12:14:20.0059,0.5,0.9,2003-08-15 12:15:27.0059,0.1,0.2
2003-08-15 12:07:34.0065,1.6,0.2,2003-08-15 12:09:03.0065,-0.1,-0.4,2003-08-15 12:11:51.0065,-1.7,0.8,2003-08-15 12:14:20.0065,0.6,0.8,2003-08-15 12:15:27.0065,0.2,0.2
2003-08-15 12:07:34.0071,1.6,0.2,2003-08-15 12:09:03.0071,-0.3,-0.3,2003-08-15 12:11:51.0071,-1.5,0.9,2003-08-15 12:14:20.0071,0.7,0.8,2003-08-15 12:15:27.0071,0.5,0.2
2003-08-15 12:07:34.0077,1.4,0.1,2003-08-15 12:09:03.0077,-0.3,-0.1,2003-08-15 12:11:51.0077,-1.3,1,2003-08-15 12:14:20.0077,0.6,0.6,2003-08-15 12:15:27.0077,0.5,0.2
2003-08-15 12:07:34.0083,1,0.2,2003-08-15 12:09:03.0083,-0.3,-0.1,2003-08-15 12:11:51.0083,-1.1,1.2,2003-08-15 12:14:20.0083,0.4,0.6,2003-08-15 12:15:27.0083,0.5,0.2
2003-08-15 12:07:34.0089,0.7,0.1,2003-08-15 12:09:03.0089,-0.3,-0.3,2003-08-15 12:11:51.0089,-1.1,1.1,2003-08-15 12:14:20.0089,0.3,0.5,2003-08-15 12:15:27.0089,0.5,-0.1
2003-08-15 12:07:34.0094,0.1,0,2003-08-15 12:09:03.0094,-0.3,-0.7,2003-08-15 12:11:51.0094,-1.2,1,2003-08-15 12:14:20.0094,0,0.4,2003-08-15 12:15:27.0094,0.3,-0.1
2003-08-15 12:07:34.0100,-0.2,0,2003-08-15 12:09:03.0100,-0.3,-0.8,2003-08-15 12:11:51.0100,-1.1,1,2003-08-15 12:14:20.0100,0,0.4,2003-08-15 12:15:27.0100,0.2,-0.2
2003-08-15 12:07:34.0106,-0.3,0,2003-08-15 12:09:03.0106,-0.4,-0.8,2003-08-15 12:11:51.0106,-0.9,0.9,2003-08-15 12:14:20.0106,-0.2,0.3,2003-08-15 12:15:27.0106,0.1,-0.2
2003-08-15 12:07:34.0112,-0.3,0,2003-08-15 12:09:03.0112,-0.4,-0.9,2003-08-15 12:11:51.0112,-0.7,0.7,2003-08-15 12:14:20.0112,-0.3,0.3,2003-08-15 12:15:27.0112,0,-0.3
2003-08-15 12:07:34.0118,-0.4,0,2003-08-15 12:09:03.0118,-0.4,-0.8,2003-08-15 12:11:51.0118,-0.6,0.5,2003-08-15 12:14:20.0118,-0.4,0.1,2003-08-15 12:15:27.0118,0,-0.3
2003-08-15 12:07:34.0124,-0.5,-0.1,2003-08-15 12:09:03.0124,-0.3,-0.8,2003-08-15 12:11:51.0124,-0.6,0.3,2003-08-15 12:14:20.0124,-0.4,0,2003-08-15 12:15:27.0124,-0.1,-0.2
2003-08-15 12:07:34.0130,-0.4,0,2003-08-15 12:09:03.0130,-0.3,-0.9,2003-08-15 12:11:51.0130,-0.5,0.2,2003-08-15 12:14:20.0130,-0.4,0,2003-08-15 12:15:27.0130,-0.1,-0.2
2003-08-15 12:07:34.0136,-0.2,0.1,2003-08-15 12:09:03.0136,-0.2,-0.9,2003-08-15 12:11:51.0136,-0.4,0,2003-08-15 12:14:20.0136,-0.3,0,2003-08-15 12:15:27.0136,-0.2,-0.1
2003-08-15 12:07:34.0142,0,0.1,2003-08-15 12:09:03.0142,-0.2,-0.8,2003-08-15 12:11:51.0142,-0.3,0,2003-08-15 12:14:20.0142,-0.3,0,2003-08-15 12:15:27.0142,-0.2,-0.1
2003-08-15 12:07:34.0148,0,0.1,2003-08-15 12:09:03.0148,-0.1,-0.7,2003-08-15 12:11:51.0148,-0.2,-0.1,2003-08-15 12:14:20.0148,-0.2,0,2003-08-15 12:15:27.0148,-0.1,0
2003-08-15 12:07:34.0153,-0.2,0.2,2003-08-15 12:09:03.0153,0,-0.5,2003-08-15 12:11:51.0153,-0.1,-0.2,2003-08-15 12:14:20.0153,-0.2,0.1,2003-08-15 12:15:27.0153,0,0
2003-08-15 12:07:34.0159,-0.4,0.3,2003-08-15 12:09:03.0159,0,-0.4,2003-08-15 12:11:51.0159,-0.1,-0.2,2003-08-15 12:14:20.0159,-0.1,0.1,2003-08-15 12:15:27.0159,-0.1,0
2003-08-15 12:07:34.0165,-0.5,0.2,2003-08-15 12:09:03.0165,0,-0.2,2003-08-15 12:11:51.0165,-0.1,-0.3,2003-08-15 12:14:20.0165,0,0.1,2003-08-15 12:15:27.0165,0,0
2003-08-15 12:07:34.0171,-0.6,0,2003-08-15 12:09:03.0171,0,-0.2,2003-08-15 12:11:51.0171,-0.3,-0.5,2003-08-15 12:14:20.0171,0,0.2,2003-08-15 12:15:27.0171,0,-0.2
2003-08-15 12:07:34.0177,-0.5,0,2003-08-15 12:09:03.0177,-0.1,-0.3,2003-08-15 12:11:51.0177,-0.5,-0.6,2003-08-15 12:14:20.0177,0.1,0,2003-08-15 12:15:27.0177,-0.1,-0.2
2003-08-15 12:07:34.0183,-0.3,0,2003-08-15 12:09:03.0183,-0.3,-0.3,2003-08-15 12:11:51.0183,-0.7,-0.6,2003-08-15 12:14:20.0183,0,0.1,2003-08-15 12:15:27.0183,-0.2,-0.3
2003-08-15 12:07:34.0189,0,-0.1,2003-08-15 12:09:03.0189,-0.4,-0.4,2003-08-15 12:11:51.0189,-0.9,-0.6,2003-08-15 12:14:20.0189,0,0.3,2003-08-15 12:15:27.0189,-0.2,-0.3
2003-08-15 12:07:34.0195,0.2,-0.1,2003-08-15 12:09:03.0195,-0.5,-0.5,2003-08-15 12:11:51.0195,-0.9,-0.6,2003-08-15 12:14:20.0195,-0.1,0.5,2003-08-15 12:15:27.0195,-0.2,-0.3
2003-08-15 12:07:34.0201,0.3,-0.2,2003-08-15 12:09:03.0201,-0.7,-0.5,2003-08-15 12:11:51.0201,-0.9,-0.4,2003-08-15 12:14:20.0201,-0.1,0.6,2003-08-15 12:15:27.0201,-0.2,-0.2
