TIME_1,RE_1,LE_1,TIME_2,RE_2,LE_2,TIME_3,RE_3,LE_3,TIME_4,RE_4,LE_4
2021-08-28 08:59:40.0000,0,0,2021-08-28 09:05:22.0000,0,0,2021-08-28 11:55:37.0000,0,0,2021-08-28 11:58:13.0000,0,0
2021-08-28 08:59:40.0006,-0.1,0,2021-08-28 09:05:22.0006,-0.1,-0.1,2021-08-28 11:55:37.0006,0,-0.4,2021-08-28 11:58:13.0006,0,-0.1
2021-08-28 08:59:40.0012,-0.4,-0.2,2021-08-28 09:05:22.0012,-0.3,-0.2,2021-08-28 11:55:37.0012,-0.2,-0.4,2021-08-28 11:58:13.0012,0,-0.3
2021-08-28 08:59:40.0018,-0.6,-0.2,2021-08-28 09:05:22.0018,-0.3,-0.3,2021-08-28 11:55:37.0018,-0.3,-0.5,2021-08-28 11:58:13.0018,0.2,-0.2
2021-08-28 08:59:40.0024,-0.5,-0.1,2021-08-28 09:05:22.0024,-0.1,-0.1,2021-08-28 11:55:37.0024,-0.5,-0.5,2021-08-28 11:58:13.0024,0.3,-0.2
2021-08-28 08:59:40.0030,-0.4,0,2021-08-28 09:05:22.0030,-0.1,0,2021-08-28 11:55:37.0030,-0.6,-0.5,2021-08-28 11:58:13.0030,0.3,-0.2
2021-08-28 08:59:40.0035,-0.3,0.2,2021-08-28 09:05:22.0035,0,0,2021-08-28 11:55:37.0035,-0.6,-0.3,2021-08-28 11:58:13.0035,0.3,-0.2
2021-08-28 08:59:40.0041,0,0.5,2021-08-28 09:05:22.0041,0.2,0,2021-08-28 11:55:37.0041,-0.6,-0.2,2021-08-28 11:58:13.0041,0.4,-0.1
2021-08-28 08:59:40.0047,0.1,0.5,2021-08-28 09:05:22.0047,0.4,0.2,2021-08-28 11:55:37.0047,-0.4,-0.2,2021-08-28 11:58:13.0047,0.5,-0.1
2021-08-28 08:59:40.0053,0.2,0.6,2021-08-28 09:05:22.0053,0.6,0.4,2021-08-28 11:55:37.0053,-0.2,-0.1,2021-08-28 11:58:13.0053,0.6,-0.2
2021-08-28 08:59:40.0059,0.3,0.7,2021-08-28 09:05:22.0059,0.5,0.4,2021-08-28 11:55:37.0059,0,-0.1,2021-08-28 11:58:13.0059,0.8,-0.2
2021-08-28 08:59:40.0065,0.3,0.7,2021-08-28 09:05:22.0065,0.7,0.5,2021-08-28 11:55:37.0065,0.1,0,2021-08-28 11:58:13.0065,1,-0.2
2021-08-28 08:59:40.0071,0.3,0.7,2021-08-28 09:05:22.0071,0.7,0.5,2021-08-28 11:55:37.0071,0.2,0,2021-08-28 11:58:13.0071,1.1,-0.3
2021-08-28 08:59:40.0077,0.4,0.8,2021-08-28 09:05:22.0077,0.6,0.5,2021-08-28 11:55:37.0077,0.2,0,2021-08-28 11:58:13.0077,1.2,-0.5
2021-08-28 08:59:40.0083,0.3,0.8,2021-08-28 09:05:22.0083,0.7,0.5,2021-08-28 11:55:37.0083,0.4,0,2021-08-28 11:58:13.0083,1.3,-0.4
2021-08-28 08:59:40.0089,0.2,0.6,2021-08-28 09:05:22.0089,0.6,0.4,2021-08-28 11:55:37.0089,0.5,0.1,2021-08-28 11:58:13.0089,1.3,-0.3
2021-08-28 08:59:40.0094,0,0.4,2021-08-28 09:05:22.0094,0.3,0.3,2021-08-28 11:55:37.0094,0.7,0.2,2021-08-28 11:58:13.0094,1.1,-0.3
2021-08-28 08:59:40.0100,0,0.4,2021-08-28 09:05:22.0100,0.1,0.3,2021-08-28 11:55:37.0100,1,0.2,2021-08-28 11:58:13.0100,1.2,-0.2
2021-08-28 08:59:40.0106,0.1,0.4,2021-08-28 09:05:22.0106,0.1,0.2,2021-08-28 11:55:37.0106,1.2,0.3,2021-08-28 11:58:13.0106,1.2,-0.1
2021-08-28 08:59:40.0112,0.2,0.5,2021-08-28 09:05:22.0112,0.3,0.3,2021-08-28 11:55:37.0112,1.4,0.2,2021-08-28 11:58:13.0112,1.1,-0.1
2021-08-28 08:59:40.0118,0.4,0.6,2021-08-28 09:05:22.0118,0.4,0.2,2021-08-28 11:55:37.0118,1.4,0,2021-08-28 11:58:13.0118,1.2,-0.2
2021-08-28 08:59:40.0124,0.5,0.8,2021-08-28 09:05:22.0124,0.6,0.2,2021-08-28 11:55:37.0124,1.5,0,2021-08-28 11:58:13.0124,1.3,-0.2
2021-08-28 08:59:40.0130,0.6,0.8,2021-08-28 09:05:22.0130,0.7,0.3,2021-08-28 11:55:37.0130,1.5,-0.2,2021-08-28 11:58:13.0130,1.4,-0.2
2021-08-28 08:59:40.0136,0.7,1,2021-08-28 09:05:22.0136,0.7,0.3,2021-08-28 11:55:37.0136,1.5,-0.3,2021-08-28 11:58:13.0136,1.4,-0.1
2021-08-28 08:59:40.0142,0.7,1,2021-08-28 09:05:22.0142,0.8,0.4,2021-08-28 11:55:37.0142,1.3,-0.4,2021-08-28 11:58:13.0142,1.5,0
2021-08-28 08:59:40.0148,0.8,1.1,2021-08-28 09:05:22.0148,0.7,0.3,2021-08-28 11:55:37.0148,1.1,-0.4,2021-08-28 11:58:13.0148,1.6,0.1
2021-08-28 08:59:40.0153,0.9,1.2,2021-08-28 09:05:22.0153,0.7,0.1,2021-08-28 11:55:37.0153,1,-0.5,2021-08-28 11:58:13.0153,1.7,0.2
2021-08-28 08:59:40.0159,0.9,1.1,2021-08-28 09:05:22.0159,0.6,0.2,2021-08-28 11:55:37.0159,0.9,-0.6,2021-08-28 11:58:13.0159,1.9,0.3
2021-08-28 08:59:40.0165,1,1.1,2021-08-28 09:05:22.0165,0.7,0.2,2021-08-28 11:55:37.0165,1,-0.7,2021-08-28 11:58:13.0165,2,0.3
2021-08-28 08:59:40.0171,0.9,0.8,2021-08-28 09:05:22.0171,0.5,0,2021-08-28 11:55:37.0171,1,-0.7,2021-08-28 11:58:13.0171,2.1,0.3
2021-08-28 08:59:40.0177,0.5,0.5,2021-08-28 09:05:22.0177,0.2,-0.3,2021-08-28 11:55:37.0177,1.1,-0.7,2021-08-28 11:58:13.0177,2.1,0.3
2021-08-28 08:59:40.0183,0.5,0.4,2021-08-28 09:05:22.0183,0,-0.4,2021-08-28 11:55:37.0183,1.3,-0.6,2021-08-28 11:58:13.0183,2.1,0.4
2021-08-28 08:59:40.0189,0.4,0.3,2021-08-28 09:05:22.0189,0,-0.3,2021-08-28 11:55:37.0189,1.4,-0.5,2021-08-28 11:58:13.0189,2.1,0.4
2021-08-28 08:59:40.0195,0.4,0.2,2021-08-28 09:05:22.0195,0,-0.2,2021-08-28 11:55:37.0195,1.5,-0.5,2021-08-28 11:58:13.0195,2,0.5
2021-08-28 08:59:40.0201,0.5,0.2,2021-08-28 09:05:22.0201,0.1,0,2021-08-28 11:55:37.0201,1.6,-0.6,2021-08-28 11:58:13.0201,1.9,0.6
2021-08-28 08:59:40.0207,0.4,0.1,2021-08-28 09:05:22.0207,0.1,-0.1,2021-08-28 11:55:37.0207,1.7,-0.5,2021-08-28 11:58:13.0207,1.8,0.6
2021-08-28 08:59:40.0212,0.4,0.1,2021-08-28 09:05:22.0212,0.2,-0.1,2021-08-28 11:55:37.0212,1.9,-0.5,2021-08-28 11:58:13.0212,1.9,0.6
2021-08-28 08:59:40.0218,0.4,0,2021-08-28 09:05:22.0218,0.3,-0.2,2021-08-28 11:55:37.0218,2.1,-0.7,2021-08-28 11:58:13.0218,1.8,0.4
2021-08-28 08:59:40.0224,0.6,0,2021-08-28 09:05:22.0224,0.2,-0.2,2021-08-28 11:55:37.0224,2.3,-0.7,2021-08-28 11:58:13.0224,2,0.3
2021-08-28 08:59:40.0230,0.6,0,2021-08-28 09:05:22.0230,0.3,-0.5,2021-08-28 11:55:37.0230,2.5,-0.8,2021-08-28 11:58:13.0230,2,0
2021-08-28 08:59:40.0236,0.7,-0.1,2021-08-28 09:05:22.0236,0.3,-0.5,2021-08-28 11:55:37.0236,2.7,-0.8,2021-08-28 11:58:13.0236,2.1,-0.2
2021-08-28 08:59:40.0242,0.7,-0.1,2021-08-28 09:05:22.0242,0.3,-0.8,2021-08-28 11:55:37.0242,2.8,-0.8,2021-08-28 11:58:13.0242,2.2,-0.3
2021-08-28 08:59:40.0248,0.7,-0.1,2021-08-28 09:05:22.0248,0.4,-0.8,2021-08-28 11:55:37.0248,2.8,-0.8,2021-08-28 11:58:13.0248,2.3,-0.4
2021-08-28 08:59:40.0254,0.4,-0.4,2021-08-28 09:05:22.0254,0.2,-1.1,2021-08-28 11:55:37.0254,2.6,-0.9,2021-08-28 11:58:13.0254,2.3,-0.5
2021-08-28 08:59:40.0260,-0.1,-0.7,2021-08-28 09:05:22.0260,0,-1.6,2021-08-28 11:55:37.0260,2.5,-1.1,2021-08-28 11:58:13.0260,2.1,-0.7
2021-08-28 08:59:40.0266,-0.4,-0.8,2021-08-28 09:05:22.0266,-0.2,-1.7,2021-08-28 11:55:37.0266,2.4,-1.2,2021-08-28 11:58:13.0266,2.1,-0.7
2021-08-28 08:59:40.0272,-0.6,-1,2021-08-28 09:05:22.0272,-0.4,-1.8,2021-08-28 11:55:37.0272,2.3,-1.3,2021-08-28 11:58:13.0272,2.1,-0.7
2021-08-28 08:59:40.0277,-0.5,-0.8,2021-08-28 09:05:22.0277,-0.3,-1.7,2021-08-28 11:55:37.0277,2.5,-1.6,2021-08-28 11:58:13.0277,2.1,-0.7
2021-08-28 08:59:40.0283,-0.5,-0.9,2021-08-28 09:05:22.0283,-0.2,-1.6,2021-08-28 11:55:37.0283,2.6,-1.6,2021-08-28 11:58:13.0283,2.1,-0.6
2021-08-28 08:59:40.0289,-0.3,-1,2021-08-28 09:05:22.0289,-0.2,-1.5,2021-08-28 11:55:37.0289,2.7,-1.6,2021-08-28 11:58:13.0289,2.3,-0.6
2021-08-28 08:59:40.0295,-0.2,-1,2021-08-28 09:05:22.0295,-0.1,-1.5,2021-08-28 11:55:37.0295,2.8,-1.7,2021-08-28 11:58:13.0295,2.3,-0.5
2021-08-28 08:59:40.0301,0,-0.9,2021-08-28 09:05:22.0301,-0.1,-1.5,2021-08-28 11:55:37.0301,2.9,-1.6,2021-08-28 11:58:13.0301,2.3,-0.6
2021-08-28 08:59:40.0307,0.1,-1,2021-08-28 09:05:22.0307,0,-1.4,2021-08-28 11:55:37.0307,2.8,-1.6,2021-08-28 11:58:13.0307,2.3,-0.6
2021-08-28 08:59:40.0313,0.2,-0.9,2021-08-28 09:05:22.0313,0.1,-1.4,2021-08-28 11:55:37.0313,2.7,-1.5,2021-08-28 11:58:13.0313,2.3,-0.8
2021-08-28 08:59:40.0319,0.3,-0.8,2021-08-28 09:05:22.0319,0.1,-1.4,2021-08-28 11:55:37.0319,2.6,-1.3,2021-08-28 11:58:13.0319,2.3,-0.9
2021-08-28 08:59:40.0325,0.3,-0.7,2021-08-28 09:05:22.0325,0.2,-1.4,2021-08-28 11:55:37.0325,2.6,-1.2,2021-08-28 11:58:13.0325,2.3,-1
2021-08-28 08:59:40.0331,0.6,-0.5,2021-08-28 09:05:22.0331,0.3,-1.4,2021-08-28 11:55:37.0331,2.6,-1.2,2021-08-28 11:58:13.0331,2.2,-0.9
2021-08-28 08:59:40.0336,0.6,-0.4,2021-08-28 09:05:22.0336,0.4,-1.5,2021-08-28 11:55:37.0336,2.8,-1.3,2021-08-28 11:58:13.0336,2.3,-0.9
2021-08-28 08:59:40.0342,0.4,-0.4,2021-08-28 09:05:22.0342,0.3,-1.8,2021-08-28 11:55:37.0342,2.8,-1.4,2021-08-28 11:58:13.0342,2.2,-0.9
2021-08-28 08:59:40.0348,0.4,-0.1,2021-08-28 09:05:22.0348,0.4,-1.7,2021-08-28 11:55:37.0348,2.9,-1.5,2021-08-28 11:58:13.0348,2.3,-0.9
2021-08-28 08:59:40.0354,0.6,0.2,2021-08-28 09:05:22.0354,0.5,-1.6,2021-08-28 11:55:37.0354,3,-1.5,2021-08-28 11:58:13.0354,2.3,-0.8
2021-08-28 08:59:40.0360,0.9,0.6,2021-08-28 09:05:22.0360,0.9,-1.2,2021-08-28 11:55:37.0360,3.1,-1.5,2021-08-28 11:58:13.0360,2.3,-0.7
2021-08-28 08:59:40.0366,1.3,0.9,2021-08-28 09:05:22.0366,1.3,-0.9,2021-08-28 11:55:37.0366,3.2,-1.5,2021-08-28 11:58:13.0366,2.4,-0.8
2021-08-28 08:59:40.0372,1.5,1.2,2021-08-28 09:05:22.0372,1.6,-0.5,2021-08-28 11:55:37.0372,3.3,-1.6,2021-08-28 11:58:13.0372,2.5,-0.8
2021-08-28 08:59:40.0378,1.7,1.4,2021-08-28 09:05:22.0378,2.1,0,2021-08-28 11:55:37.0378,3.3,-1.6,2021-08-28 11:58:13.0378,2.7,-0.9
2021-08-28 08:59:40.0384,2,1.6,2021-08-28 09:05:22.0384,2.2,0.3,2021-08-28 11:55:37.0384,3.3,-1.6,2021-08-28 11:58:13.0384,2.7,-1
2021-08-28 08:59:40.0390,2.3,1.9,2021-08-28 09:05:22.0390,2.5,0.7,2021-08-28 11:55:37.0390,3.3,-1.7,2021-08-28 11:58:13.0390,2.8,-1.1
2021-08-28 08:59:40.0395,2.6,2.1,2021-08-28 09:05:22.0395,2.7,1.1,2021-08-28 11:55:37.0395,3.3,-1.6,2021-08-28 11:58:13.0395,2.7,-1.2
2021-08-28 08:59:40.0401,2.9,2.2,2021-08-28 09:05:22.0401,2.8,1.2,2021-08-28 11:55:37.0401,3.4,-1.7,2021-08-28 11:58:13.0401,2.6,-1.1
2021-08-28 08:59:40.0407,3.1,2.4,2021-08-28 09:05:22.0407,3,1.4,2021-08-28 11:55:37.0407,3.5,-1.6,2021-08-28 11:58:13.0407,2.5,-1.1
2021-08-28 08:59:40.0413,3.4,2.6,2021-08-28 09:05:22.0413,2.9,1.6,2021-08-28 11:55:37.0413,3.5,-1.6,2021-08-28 11:58:13.0413,2.3,-1.1
2021-08-28 08:59:40.0419,3.5,2.7,2021-08-28 09:05:22.0419,3.1,1.4,2021-08-28 11:55:37.0419,3.4,-1.6,2021-08-28 11:58:13.0419,2.2,-1.1
2021-08-28 08:59:40.0425,3.4,2.8,2021-08-28 09:05:22.0425,3,1.3,2021-08-28 11:55:37.0425,3.1,-1.7,2021-08-28 11:58:13.0425,2.1,-1.3
2021-08-28 08:59:40.0431,3.3,2.9,2021-08-28 09:05:22.0431,3,1.3,2021-08-28 11:55:37.0431,2.9,-1.7,2021-08-28 11:58:13.0431,2.2,-1.4
2021-08-28 08:59:40.0437,3.5,3.2,2021-08-28 09:05:22.0437,3.3,1.5,2021-08-28 11:55:37.0437,2.8,-1.6,2021-08-28 11:58:13.0437,2.3,-1.5
2021-08-28 08:59:40.0443,3.8,3.5,2021-08-28 09:05:22.0443,3.5,1.6,2021-08-28 11:55:37.0443,2.8,-1.5,2021-08-28 11:58:13.0443,2.4,-1.5
2021-08-28 08:59:40.0449,3.9,3.8,2021-08-28 09:05:22.0449,4,1.9,2021-08-28 11:55:37.0449,2.9,-1.6,2021-08-28 11:58:13.0449,2.5,-1.5
2021-08-28 08:59:40.0455,4.2,4,2021-08-28 09:05:22.0455,4.4,2.2,2021-08-28 11:55:37.0455,3,-1.6,2021-08-28 11:58:13.0455,2.5,-1.5
2021-08-28 08:59:40.0460,4.3,4.3,2021-08-28 09:05:22.0460,4.7,2.6,2021-08-28 11:55:37.0460,3.1,-1.7,2021-08-28 11:58:13.0460,2.4,-1.5
2021-08-28 08:59:40.0466,4.5,4.6,2021-08-28 09:05:22.0466,5,3,2021-08-28 11:55:37.0466,3,-1.7,2021-08-28 11:58:13.0466,2.4,-1.6
2021-08-28 08:59:40.0472,4.7,4.9,2021-08-28 09:05:22.0472,5.2,3.3,2021-08-28 11:55:37.0472,3,-1.8,2021-08-28 11:58:13.0472,2.4,-1.7
2021-08-28 08:59:40.0478,4.8,5.2,2021-08-28 09:05:22.0478,5.4,3.6,2021-08-28 11:55:37.0478,2.8,-1.9,2021-08-28 11:58:13.0478,2.5,-1.9
2021-08-28 08:59:40.0484,4.9,5.3,2021-08-28 09:05:22.0484,5.6,3.8,2021-08-28 11:55:37.0484,2.8,-1.9,2021-08-28 11:58:13.0484,2.5,-2
2021-08-28 08:59:40.0490,5.1,5.5,2021-08-28 09:05:22.0490,5.8,3.9,2021-08-28 11:55:37.0490,2.9,-1.9,2021-08-28 11:58:13.0490,2.6,-2
2021-08-28 08:59:40.0496,5.2,5.6,2021-08-28 09:05:22.0496,5.8,4.2,2021-08-28 11:55:37.0496,3.1,-2,2021-08-28 11:58:13.0496,2.6,-1.9
2021-08-28 08:59:40.0502,5.3,5.7,2021-08-28 09:05:22.0502,5.9,4.2,2021-08-28 11:55:37.0502,3.2,-1.9,2021-08-28 11:58:13.0502,2.6,-1.9
2021-08-28 08:59:40.0508,5.2,5.4,2021-08-28 09:05:22.0508,5.9,4,2021-08-28 11:55:37.0508,3.3,-2,2021-08-28 11:58:13.0508,2.5,-1.8
2021-08-28 08:59:40.0514,5.2,5.5,2021-08-28 09:05:22.0514,5.9,3.9,2021-08-28 11:55:37.0514,3.4,-1.9,2021-08-28 11:58:13.0514,2.5,-1.9
2021-08-28 08:59:40.0519,5.2,5.5,2021-08-28 09:05:22.0519,6,4,2021-08-28 11:55:37.0519,3.4,-1.8,2021-08-28 11:58:13.0519,2.4,-1.9
2021-08-28 08:59:40.0525,5.4,5.4,2021-08-28 09:05:22.0525,6,4.1,2021-08-28 11:55:37.0525,3.5,-1.8,2021-08-28 11:58:13.0525,2.4,-1.8
2021-08-28 08:59:40.0531,5.6,5.5,2021-08-28 09:05:22.0531,6.1,4.1,2021-08-28 11:55:37.0531,3.5,-1.7,2021-08-28 11:58:13.0531,2.4,-1.8
2021-08-28 08:59:40.0537,5.8,5.4,2021-08-28 09:05:22.0537,6.3,4.2,2021-08-28 11:55:37.0537,3.4,-1.6,2021-08-28 11:58:13.0537,2.3,-1.7
2021-08-28 08:59:40.0543,5.8,5.3,2021-08-28 09:05:22.0543,6.3,4.2,2021-08-28 11:55:37.0543,3.3,-1.7,2021-08-28 11:58:13.0543,2.4,-1.6
2021-08-28 08:59:40.0549,5.7,5.2,2021-08-28 09:05:22.0549,6.4,4.2,2021-08-28 11:55:37.0549,3.2,-1.7,2021-08-28 11:58:13.0549,2.4,-1.5
2021-08-28 08:59:40.0555,5.6,5.1,2021-08-28 09:05:22.0555,6.3,4.2,2021-08-28 11:55:37.0555,3.2,-1.7,2021-08-28 11:58:13.0555,2.5,-1.5
